"","Player","Pos","TS.","USG.","player.id","url","G","MP","FT%","ftr.16.17","perc.0.3","perc.3.10","perc.10.16","perc.16.3","perc.3","0.3.perc","3.10.perc","10.16.perc","16.3.perc","3.perc","player.ids.16.17"
"1","A.J. Hammons","C",".472","17.6","hammoaj01","https://www.basketball-reference.com/players/h/hammoaj01.html",22,163,0.45,0.476,".190",".071",".143",".357",".238",".500",".000",".167",".467",".500","hammoaj01"
"2","Aaron Brooks","PG",".507","19.2","brookaa01","https://www.basketball-reference.com/players/b/brookaa01.html",65,894,0.8,0.133,".190",".153",".113",".117",".427",".421",".413",".529",".343",".375","brookaa01"
"3","Aaron Gordon","SF",".530","20.1","gordoaa01","https://www.basketball-reference.com/players/g/gordoaa01.html",80,2298,0.719,0.251,".361",".092",".106",".131",".309",".683",".325",".446",".319",".288","gordoaa01"
"4","Aaron Harrison","SG",".102","12.9","harriaa01","https://www.basketball-reference.com/players/h/harriaa01.html",5,17,0.5,0.5,".000",".000",".000",".500",".500","","","",".000",".000","harriaa01"
"5","Adreian Payne","PF",".505","23.1","paynead01","https://www.basketball-reference.com/players/p/paynead01.html",18,135,0.737,0.352,".315",".148",".074",".185",".278",".471",".500",".750",".500",".200","paynead01"
"6","Al Horford","C",".553","19.7","horfoal01","https://www.basketball-reference.com/players/h/horfoal01.html",68,2193,0.8,0.169,".213",".220",".127",".136",".302",".708",".472",".392",".450",".355","horfoal01"
"7","Al Jefferson","C",".526","26.1","jeffeal01","https://www.basketball-reference.com/players/j/jeffeal01.html",66,931,0.765,0.18,".289",".382",".214",".108",".002",".662",".522",".327",".353",".000","jeffeal01"
"8","Al-Farouq Aminu","SF",".506","15.4","aminual01","https://www.basketball-reference.com/players/a/aminual01.html",61,1773,0.706,0.292,".320",".133",".030",".060",".455",".530",".306",".357",".357",".330","aminual01"
"9","Alan Anderson","SF",".494","13.7","anderal01","https://www.basketball-reference.com/players/a/anderal01.html",30,308,0.75,0.2,".175",".088",".088",".100",".550",".857",".143",".143",".250",".318","anderal01"
"10","Alan Williams","C",".547","20.9","willial03","https://www.basketball-reference.com/players/w/willial03.html",47,708,0.625,0.419,".498",".408",".086",".004",".004",".609",".431",".435",".000",".000","willial03"
"11","Alec Burks","SG",".501","22.7","burksal01","https://www.basketball-reference.com/players/b/burksal01.html",42,653,0.769,0.315,".270",".185",".117",".121",".306",".388",".478",".552",".333",".329","burksal01"
"12","Alex Abrines","SG",".560","15.9","abrinal01","https://www.basketball-reference.com/players/a/abrinal01.html",68,1055,0.898,0.144,".120",".047",".044",".065",".724",".488",".438",".333",".364",".381","abrinal01"
"13","Alex Len","C",".553","17.6","lenal01","https://www.basketball-reference.com/players/l/lenal01.html",77,1560,0.721,0.449,".510",".238",".097",".127",".026",".669",".345",".267",".322",".250","lenal01"
"14","Alex Poythress","PF",".548","16.9","poythal01","https://www.basketball-reference.com/players/p/poythal01.html",6,157,0.8,0.185,".500",".074",".074",".000",".352",".556",".750",".250","",".316","poythal01"
"15","Alexis Ajinca","C",".529","17.2","ajincal01","https://www.basketball-reference.com/players/a/ajincal01.html",39,584,0.725,0.225,".348",".253",".107",".270",".022",".710",".378",".579",".354",".000","ajincal01"
"16","Allen Crabbe","SG",".602","14.9","crabbal01","https://www.basketball-reference.com/players/c/crabbal01.html",79,2254,0.847,0.192,".153",".088",".070",".224",".467",".646",".404",".467",".421",".444","crabbal01"
"17","Alonzo Gee","SF",".306","10.5","geeal01","https://www.basketball-reference.com/players/g/geeal01.html",13,89,0.556,0.643,".429",".143",".143",".000",".214",".500",".000",".000","",".000","geeal01"
"18","Amir Johnson","PF",".628","13.6","johnsam01","https://www.basketball-reference.com/players/j/johnsam01.html",80,1608,0.67,0.27,".524",".268",".014",".014",".178",".716",".434",".400",".400",".409","johnsam01"
"19","Anderson Varejao","C",".478","12.6","varejan01","https://www.basketball-reference.com/players/v/varejan01.html",14,92,0.727,0.786,".500",".357",".143",".000",".000",".286",".400",".500","","","varejan01"
"20","Andre Drummond","C",".518","22.4","drumman01","https://www.basketball-reference.com/players/d/drumman01.html",81,2409,0.386,0.39,".494",".420",".070",".004",".008",".684",".381",".406",".000",".286","drumman01"
"21","Andre Iguodala","SF",".624","11.2","iguodan01","https://www.basketball-reference.com/players/i/iguodan01.html",76,1998,0.706,0.246,".361",".043",".034",".133",".427",".767",".333",".286",".545",".362","iguodan01"
"22","Andre Roberson","SF",".510","10.1","roberan03","https://www.basketball-reference.com/players/r/roberan03.html",79,2376,0.423,0.24,".518",".069",".004",".013",".397",".667",".250",".000",".333",".245","roberan03"
"23","Andrew Bogut","C",".460","10.4","bogutan01","https://www.basketball-reference.com/players/b/bogutan01.html",27,583,0.273,0.136,".457",".469",".062",".000",".012",".568",".421",".200","",".000","bogutan01"
"24","Andrew Harrison","PG",".477","16.4","harrian01","https://www.basketball-reference.com/players/h/harrian01.html",72,1474,0.763,0.539,".272",".100",".075",".122",".433",".459",".333",".148",".295",".276","harrian01"
"25","Andrew Nicholson","PF",".427","17.0","nichoan01","https://www.basketball-reference.com/players/n/nichoan01.html",38,342,0.643,0.126,".216",".297",".180",".063",".243",".708",".364",".250",".571",".185","nichoan01"
"26","Andrew Wiggins","SF",".534","29.0","wiggian01","https://www.basketball-reference.com/players/w/wiggian01.html",82,3048,0.76,0.345,".291",".131",".139",".253",".184",".650",".374",".365",".383",".356","wiggian01"
"27","Anthony Bennett","PF",".533","19.4","bennean01","https://www.basketball-reference.com/players/b/bennean01.html",23,264,0.722,0.391,".370",".087",".011",".011",".522",".676",".250",".000",".000",".271","bennean01"
"28","Anthony Brown","SF",".430","15.6","brownan02","https://www.basketball-reference.com/players/b/brownan02.html",11,159,NA,0,".140",".100",".060",".160",".540",".571",".400",".333",".500",".259","brownan02"
"29","Anthony Davis","C",".580","32.6","davisan02","https://www.basketball-reference.com/players/d/davisan02.html",75,2708,0.802,0.424,".283",".232",".168",".228",".088",".706",".454",".467",".414",".299","davisan02"
"30","Anthony Morrow","SG",".505","16.4","morroan01","https://www.basketball-reference.com/players/m/morroan01.html",49,714,0.919,0.147,".063",".155",".151",".099",".528",".563",".538",".395",".480",".308","morroan01"
"31","Anthony Tolliver","PF",".595","13.6","tollian01","https://www.basketball-reference.com/players/t/tollian01.html",65,1477,0.744,0.234,".151",".103",".040",".054",".655",".660",".528",".214",".421",".391","tollian01"
"32","Archie Goodwin","SG",".651","19.8","goodwar01","https://www.basketball-reference.com/players/g/goodwar01.html",15,214,0.786,0.636,".606",".091",".015",".061",".227",".600",".667","1.000",".500",".333","goodwar01"
"33","Arinze Onuaku","C",".500","9.4","onuakar01","https://www.basketball-reference.com/players/o/onuakar01.html",8,28,NA,0,".000",".750",".250",".000",".000","",".667",".000","","","onuakar01"
"34","Aron Baynes","C",".570","14.1","baynear01","https://www.basketball-reference.com/players/b/baynear01.html",75,1163,0.84,0.337,".513",".251",".136",".100",".000",".566",".429",".526",".429","","baynear01"
"35","Arron Afflalo","SG",".559","14.4","afflaar01","https://www.basketball-reference.com/players/a/afflaar01.html",61,1580,0.892,0.221,".100",".117",".186",".236",".360",".571",".449",".449",".424",".411","afflaar01"
"36","Austin Rivers","SG",".545","20.3","riverau01","https://www.basketball-reference.com/players/r/riverau01.html",74,2054,0.691,0.261,".298",".183",".055",".055",".409",".592",".403",".475",".250",".371","riverau01"
"37","Avery Bradley","SG",".548","21.9","bradlav01","https://www.basketball-reference.com/players/b/bradlav01.html",55,1835,0.731,0.12,".270",".076",".066",".231",".357",".622",".356",".529",".408",".390","bradlav01"
"38","Axel Toupane","SF",".611","8.5","toupaax01","https://www.basketball-reference.com/players/t/toupaax01.html",4,47,NA,0,".111",".000",".000",".444",".444","1.000","","",".750",".250","toupaax01"
"39","Ben Bentil","PF",".000","18.9","bentibe01","https://www.basketball-reference.com/players/b/bentibe01.html",3,10,NA,0,".000",".333",".000",".333",".333","",".000","",".000",".000","bentibe01"
"40","Ben McLemore","SG",".538","20.1","mclembe01","https://www.basketball-reference.com/players/m/mclembe01.html",61,1176,0.753,0.222,".210",".115",".060",".212",".406",".648",".313",".240",".416",".382","mclembe01"
"41","Beno Udrih","PG",".535","19.6","udrihbe01","https://www.basketball-reference.com/players/u/udrihbe01.html",39,560,0.941,0.173,".213",".096",".279",".249",".162",".595",".526",".509",".367",".344","udrihbe01"
"42","Bismack Biyombo","C",".546","13.2","biyombi01","https://www.basketball-reference.com/players/b/biyombi01.html",81,1793,0.534,0.69,".581",".319",".077",".029",".000",".680",".324",".346",".100","","biyombi01"
"43","Blake Griffin","PF",".569","28.0","griffbl01","https://www.basketball-reference.com/players/g/griffbl01.html",61,2076,0.76,0.434,".348",".191",".061",".283",".116",".669",".405",".322",".436",".336","griffbl01"
"44","Boban Marjanovic","C",".606","25.3","marjabo01","https://www.basketball-reference.com/players/m/marjabo01.html",35,293,0.81,0.439,".417",".485",".098",".000",".000",".764",".391",".385","","","marjabo01"
"45","Bobby Brown","PG",".509","22.7","brownbo02","https://www.basketball-reference.com/players/b/brownbo02.html",25,123,1,0.033,".067",".133",".100",".117",".583",".250",".375",".333",".429",".400","brownbo02"
"46","Bobby Portis","PF",".545","19.1","portibo01","https://www.basketball-reference.com/players/p/portibo01.html",64,1000,0.661,0.157,".267",".160",".115",".203",".256",".690",".550",".302",".474",".333","portibo01"
"47","Bojan Bogdanovic","SF",".585","22.4","bogdabo02","https://www.basketball-reference.com/players/b/bogdabo02.html",81,2083,0.893,0.288,".290",".102",".077",".067",".464",".620",".395",".308",".456",".367","bogdabo02"
"48","Boris Diaw","PF",".494","15.6","diawbo01","https://www.basketball-reference.com/players/d/diawbo01.html",73,1283,0.743,0.107,".373",".156",".076",".147",".248",".664",".431",".440",".250",".247","diawbo01"
"49","Bradley Beal","SG",".604","26.5","bealbr01","https://www.basketball-reference.com/players/b/bealbr01.html",77,2684,0.825,0.259,".238",".101",".085",".157",".418",".634",".425",".469",".505",".404","bealbr01"
"50","Brandan Wright","PF",".628","16.3","wrighbr03","https://www.basketball-reference.com/players/w/wrighbr03.html",28,447,0.657,0.259,".630",".252",".096",".015",".007",".729",".441",".385",".500",".000","wrighbr03"
"51","Brandon Bass","PF",".650","19.7","bassbr01","https://www.basketball-reference.com/players/b/bassbr01.html",52,577,0.875,0.473,".532",".118",".237",".097",".016",".687",".500",".477",".333",".333","bassbr01"
"52","Brandon Ingram","SF",".474","16.8","ingrabr01","https://www.basketball-reference.com/players/i/ingrabr01.html",79,2279,0.621,0.312,".278",".141",".150",".159",".273",".607",".289",".330",".394",".294","ingrabr01"
"53","Brandon Jennings","PG",".479","17.6","jennibr01","https://www.basketball-reference.com/players/j/jennibr01.html",81,1802,0.75,0.284,".213",".099",".099",".116",".471",".500",".245",".434",".323",".313","jennibr01"
"54","Brandon Knight","SG",".502","25.0","knighbr03","https://www.basketball-reference.com/players/k/knighbr03.html",54,1140,0.857,0.293,".246",".158",".118",".211",".265",".558",".325",".387",".369",".324","knighbr03"
"55","Brandon Rush","SG",".505","9.6","rushbr01","https://www.basketball-reference.com/players/r/rushbr01.html",47,1030,0.722,0.096,".176",".048",".043",".128",".610",".424",".222",".250",".333",".386","rushbr01"
"56","Brian Roberts","PG",".510","17.9","roberbr01","https://www.basketball-reference.com/players/r/roberbr01.html",41,416,0.846,0.32,".172",".115",".123",".230",".361",".429",".143",".333",".464",".386","roberbr01"
"57","Briante Weber","PG",".462","16.3","weberbr01","https://www.basketball-reference.com/players/w/weberbr01.html",20,205,0.688,0.267,".367",".200",".083",".183",".167",".682",".417",".400",".182",".100","weberbr01"
"58","Brice Johnson","PF",".286","39.8","johnsbr02","https://www.basketball-reference.com/players/j/johnsbr02.html",3,9,NA,0,".429",".429",".143",".000",".000",".667",".000",".000","","","johnsbr02"
"59","Brook Lopez","C",".578","29.2","lopezbr01","https://www.basketball-reference.com/players/l/lopezbr01.html",75,2222,0.81,0.311,".229",".298",".108",".037",".330",".675",".479",".468",".326",".346","lopezbr01"
"60","Bruno Caboclo","SF",".438","20.1","cabocbr01","https://www.basketball-reference.com/players/c/cabocbr01.html",9,40,NA,0,".313",".125",".000",".188",".375",".400",".000","",".667",".333","cabocbr01"
"61","Bryn Forbes","SG",".462","17.9","forbebr01","https://www.basketball-reference.com/players/f/forbebr01.html",36,285,0.833,0.061,".030",".061",".091",".283",".535",".000",".333",".222",".536",".321","forbebr01"
"62","Buddy Hield","SG",".541","21.3","hieldbu01","https://www.basketball-reference.com/players/h/hieldbu01.html",82,1888,0.842,0.099,".197",".091",".100",".117",".493",".550",".414",".442",".367",".391","hieldbu01"
"63","C.J. McCollum","SG",".585","27.5","mccolcj01","https://www.basketball-reference.com/players/m/mccolcj01.html",80,2796,0.912,0.204,".178",".148",".146",".222",".305",".588",".488",".507",".453",".420","mccolcj01"
"64","C.J. Miles","SF",".592","18.4","milescj01","https://www.basketball-reference.com/players/m/milescj01.html",76,1776,0.903,0.144,".127",".070",".043",".128",".632",".634",".400",".464",".349",".413","milescj01"
"65","C.J. Watson","PG",".507","14.1","watsocj01","https://www.basketball-reference.com/players/w/watsocj01.html",62,1012,0.864,0.266,".185",".056",".089",".246",".423",".522",".429",".409",".410",".305","watsocj01"
"66","C.J. Wilcox","SG",".329","15.4","wilcocj01","https://www.basketball-reference.com/players/w/wilcocj01.html",22,108,1,0.065,".129",".000",".032",".355",".484",".000","","1.000",".364",".200","wilcocj01"
"67","Cameron Payne","PG",".407","20.9","payneca01","https://www.basketball-reference.com/players/p/payneca01.html",31,462,0.625,0.041,".140",".135",".140",".140",".446",".333",".423",".407",".222",".314","payneca01"
"68","Caris LeVert","SF",".556","16.6","leverca01","https://www.basketball-reference.com/players/l/leverca01.html",57,1237,0.72,0.245,".284",".097",".071",".066",".484",".676",".351",".556",".440",".321","leverca01"
"69","Carmelo Anthony","SF",".535","29.1","anthoca01","https://www.basketball-reference.com/players/a/anthoca01.html",74,2538,0.833,0.263,".127",".076",".211",".284",".303",".563",".419",".437",".457",".359","anthoca01"
"70","Chandler Parsons","SF",".436","17.8","parsoch01","https://www.basketball-reference.com/players/p/parsoch01.html",34,675,0.814,0.194,".288",".059",".131",".104",".419",".578",".000",".345",".130",".269","parsoch01"
"71","Channing Frye","C",".612","19.3","fryech01","https://www.basketball-reference.com/players/f/fryech01.html",74,1398,0.851,0.142,".129",".077",".058",".094",".644",".642",".400",".533",".531",".409","fryech01"
"72","Chasson Randle","PG",".586","19.7","randlch01","https://www.basketball-reference.com/players/r/randlch01.html",26,299,0.953,0.439,".327",".133",".041",".020",".480",".531",".385",".500",".000",".340","randlch01"
"73","Cheick Diallo","PF",".510","20.5","diallch01","https://www.basketball-reference.com/players/d/diallch01.html",17,199,0.714,0.276,".276",".158",".289",".263",".000",".810",".417",".318",".350","","diallch01"
"74","Chinanu Onuaku","C",".799","10.4","onuakch01","https://www.basketball-reference.com/players/o/onuakch01.html",5,52,1,0.571,".714",".286",".000",".000",".000",".800",".500","","","","onuakch01"
"75","Chris Andersen","C",".497","13.0","anderch01","https://www.basketball-reference.com/players/a/anderch01.html",12,114,0.714,0.636,".636",".045",".045",".136",".136",".500","1.000",".000",".333",".000","anderch01"
"76","Chris McCullough","PF",".526","19.9","mcculch01","https://www.basketball-reference.com/players/m/mcculch01.html",16,80,0.6,0.156,".438",".063",".125",".156",".219",".571",".500","1.000",".400",".143","mcculch01"
"77","Chris Paul","PG",".614","24.4","paulch01","https://www.basketball-reference.com/players/p/paulch01.html",61,1921,0.892,0.331,".074",".070",".210",".261",".385",".603",".564",".497",".498",".411","paulch01"
"78","Christian Wood","PF",".591","15.4","woodch01","https://www.basketball-reference.com/players/w/woodch01.html",13,107,0.733,0.652,".652",".087",".043",".000",".217",".800",".000",".000","",".000","woodch01"
"79","Clint Capela","C",".638","19.9","capelca01","https://www.basketball-reference.com/players/c/capelca01.html",65,1551,0.531,0.314,".787",".202",".005",".004",".000",".725",".342",".333",".500","","capelca01"
"80","Cody Zeller","PF",".604","15.5","zelleco01","https://www.basketball-reference.com/players/z/zelleco01.html",62,1725,0.679,0.442,".655",".194",".029",".120",".002",".655",".477",".615",".264",".000","zelleco01"
"81","Cole Aldrich","C",".549","9.4","aldrico01","https://www.basketball-reference.com/players/a/aldrico01.html",62,531,0.682,0.256,".581",".407",".012",".000",".000",".640",".371",".000","","","aldrico01"
"82","Corey Brewer","SF",".491","14.3","breweco01","https://www.basketball-reference.com/players/b/breweco01.html",82,1281,0.735,0.195,".408",".193",".040",".020",".339",".613",".328",".571",".429",".229","breweco01"
"83","Cory Joseph","PG",".518","18.4","josepco01","https://www.basketball-reference.com/players/j/josepco01.html",80,2003,0.77,0.185,".248",".212",".120",".216",".204",".598",".421",".380",".448",".356","josepco01"
"84","Courtney Lee","SG",".559","14.4","leeco01","https://www.basketball-reference.com/players/l/leeco01.html",77,2459,0.867,0.139,".163",".107",".152",".202",".382",".574",".427",".486",".444",".401","leeco01"
"85","Cristiano Felicio","C",".603","12.4","feliccr01","https://www.basketball-reference.com/players/f/feliccr01.html",66,1040,0.645,0.421,".725",".117",".032",".126",".000",".658",".423",".429",".286","","feliccr01"
"86","D.J. Augustin","PG",".524","19.4","augusdj01","https://www.basketball-reference.com/players/a/augusdj01.html",78,1538,0.814,0.311,".164",".097",".060",".149",".530",".482",".360",".355",".390",".347","augusdj01"
"87","D'Angelo Russell","PG",".518","26.6","russeda01","https://www.basketball-reference.com/players/r/russeda01.html",63,1811,0.782,0.217,".146",".131",".125",".153",".443",".559",".465",".352",".406",".352","russeda01"
"88","Dahntay Jones","SF",".461","39.9","jonesda02","https://www.basketball-reference.com/players/j/jonesda02.html",1,12,0.75,0.5,".250",".250",".125",".125",".250","1.000",".000",".000","1.000",".000","jonesda02"
"89","Damian Jones","C",".466","13.4","jonesda03","https://www.basketball-reference.com/players/j/jonesda03.html",10,85,0.3,0.625,".563",".000",".000",".438",".000",".778","","",".143","","jonesda03"
